,energy,epe
266,356.3367,11.2342005
267,355.2748,11.266883
268,356.0153,11.273341
269,356.17233,11.230954
270,355.65228,11.241667
271,356.92465,11.29246
272,360.20117,11.289123
273,359.3433,11.255991
274,357.5772,11.342809
275,357.0662,11.25063
276,355.91446,11.218238
277,354.57358,11.237847
278,354.23624,11.252031
279,352.72516,11.174149
280,352.11053,11.241148
281,352.08054,11.204978
282,351.4392,11.17131
283,351.09796,11.210574
284,351.58212,11.198604
285,351.08423,11.159933
286,351.10107,11.197257
287,351.36295,11.197823
288,350.9363,11.158879
289,351.20132,11.168579
290,350.99048,11.204894
291,351.6083,11.170073
292,351.14255,11.150423
293,350.9038,11.205774
294,353.3481,11.1860285
295,353.5128,11.174014
296,352.44165,11.230112
297,353.67453,11.184282
298,353.3687,11.181346
299,352.58868,11.19092
300,351.5298,11.192397
301,352.2829,11.174556
302,351.79977,11.182471
303,351.01993,11.176799
304,351.6416,11.187439
305,350.99893,11.139976
306,350.28632,11.185591
307,349.83896,11.16348
308,349.39716,11.1318865
309,349.24814,11.165667
310,349.16794,11.1452465
311,348.93524,11.129188
312,348.30692,11.160341
313,348.32233,11.125275
314,348.1872,11.125724
315,347.82718,11.144073
316,347.9988,11.129424
317,347.99655,11.1154375
318,347.91302,11.145409
319,347.9976,11.122755
320,347.79865,11.121024
321,347.6096,11.125388
322,348.29095,11.125468
323,347.9388,11.120405
324,347.6889,11.127156
325,347.87762,11.106916
326,347.39383,11.125238
327,347.99072,11.123838
328,348.18228,11.109743
329,348.31326,11.10332
330,348.6977,11.157946
331,348.49973,11.101675
332,348.25778,11.104403
333,348.17578,11.14376
334,349.1743,11.123781
335,349.3231,11.09697
336,349.0732,11.158454
337,349.61636,11.133669
338,349.46744,11.114406
339,347.91183,11.12255
340,347.1473,11.126345
341,346.43527,11.0718565
342,346.30786,11.128069
343,346.47018,11.093759
344,346.0937,11.0827465
345,345.71707,11.11062
346,345.88214,11.097205
347,345.6977,11.071958
348,345.68356,11.1141205
349,345.93582,11.088143
350,345.65607,11.070116
351,345.54758,11.10283
352,345.7495,11.097475
353,345.69125,11.06231
354,345.76605,11.102118
355,345.63412,11.089315
356,345.8565,11.079549
357,345.4436,11.07598
358,345.56,11.102384
359,346.0229,11.07563
360,345.87305,11.0804825
361,345.27545,11.092634
362,345.97858,11.089144
363,345.53403,11.049783
364,345.57883,11.109828
365,346.19028,11.086263
366,345.5657,11.050984
367,345.7212,11.104848
368,346.80585,11.102515
369,346.24088,11.039225
370,345.82428,11.126981
371,346.37625,11.066983
372,346.25342,11.064483
373,345.20963,11.101561
374,345.3895,11.065203
375,345.31445,11.05605
376,344.86026,11.10353
377,345.26553,11.053969
378,344.92093,11.063616
379,344.59772,11.087565
380,344.71875,11.061189
381,344.94794,11.039136
382,345.00665,11.1137295
383,345.6613,11.055113
384,344.8878,11.051346
385,345.2409,11.086241
386,345.8482,11.088134
387,345.5523,11.032588
388,345.0964,11.107927
389,345.117,11.051451
390,345.3038,11.067359
391,344.5563,11.070351
392,344.19992,11.062659
393,344.11063,11.0501995
394,344.41977,11.083162
395,344.5075,11.033216
396,344.28754,11.072736
397,344.79437,11.077401
398,344.03287,11.0327425
399,344.79413,11.046089
400,344.9699,11.1139965
401,344.51578,11.021958
402,344.14163,11.051214
403,343.8313,11.070755
404,345.26367,11.064142
405,345.25876,11.029218
406,345.13226,11.100757
407,345.78375,11.056588
408,345.49777,11.0487795
409,344.02933,11.074011
410,344.27835,11.051911
411,344.5563,11.04059
412,343.5962,11.06613
413,343.40033,11.046739
414,343.78387,11.055452
415,342.84332,11.027175
416,343.169,11.054267
417,343.4458,11.050775
418,343.05527,11.030202
419,343.06937,11.0275545
420,343.3831,11.080008
421,343.43915,11.022456
422,343.55533,11.031204
423,343.0981,11.063397
424,344.51532,11.054507
425,343.89914,11.009088
426,343.712,11.089818
427,345.15756,11.041306
428,343.9971,11.028287
429,342.6555,11.068556
430,342.38254,11.012574
431,342.01413,11.022322
432,341.77768,11.052763
433,341.71335,11.009428
434,341.50836,11.027005
435,341.4275,11.030036
436,341.5773,11.017221
437,341.35345,11.020726
438,341.312,11.029515
439,341.4041,11.013524
440,341.11942,11.023361
441,341.10748,11.01707
442,341.28842,11.019925
443,341.07867,11.010736
444,341.16434,11.024225
445,341.31674,11.011053
446,340.96844,11.018962
447,341.16086,11.009072
448,341.28055,11.021127
449,341.11823,11.003793
450,341.1225,11.026398
451,341.13797,10.999475
452,340.98508,11.024116
453,341.49054,11.009301
454,341.36697,11.012415
455,341.4546,11.0055
456,341.73633,11.041315
457,341.35178,10.987732
458,341.0886,11.020735
459,341.22455,11.015717
